File,Name,Module,Trap OIDs,Numerical Representation,Description
bsnRogueAPDetectedOnWiredNetwork,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.59,"bsnRogueAPDot11MacAddress, bsnRogueAPOnWiredNetwork, bsnAPName",When a Rogue is detected on the wired network this trap will  be sent out. The same trap with bsnRogueAPOnWiredNetwork set to no will  clear the previous trap.
bsnApHasNoRadioCards,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.60,"bsnAPMacAddrTrapVariable, bsnAPName","When an AP has no radio cards present on it, the switch  sends this trap."
bsnDuplicateIpAddressReported,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.61,"bsnDuplicateIpReportedByAP, bsnAPMacAddrTrapVariable, bsnDuplicateIpTrapVariable, bsnRogueAPDot11MacAddress, bsnDuplicateIpTrapClear, bsnAPName","This trap is issued when the switch or an AP detects another  machine using its IP Address. The first variable has value  yes if the duplicate IP is reported by an AP. In that case,  the second attribute will carry the AP MAC Address. The third variable is the duplicate IP address in question and the last  attribute is the MAC Address of the machine that is found to be using the duplicate IP."
bsnAPContainedAsARogue,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.62,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPIfType, bsnClearTrapVariable, bsnAPName","When our AP detects that it is being contained by another AP, this trap is issued. The clear flag is true if the AP is no  longer being contained."
bsnNetworkStateChanged,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.69,"bsnNetworkType, bsnNetworkState",When the 802.11a or b/g network state is changed this trap  is issued.
bsnSignatureAttackDetected,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.70,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPName, bsnAPIfType, bsnSignatureType, bsnSignatureName, bsnSignatureDescription, bsnClearTrapVariable, bsnSignatureAttackPreced, bsnSignatureAttackFrequency, bsnSignatureAttackChannel, bsnSignatureAttackerMacAddress, bsnSignatureMacInfo",This trap is sent out when a signature attack is detected by  the switch. The standard and custom signatures are predefined on the switch (see bsnSignatureConfig group). The signatures  also defines if its detection should be reported. The trap  variables bsnSignatureName and bsnSignatureDescription are  retrieved from the detected signature definition. Clear Trap  Variable is turned on when the signature attack stops. The  signature's quiet time configuration speicifes the time after which the clear trap would be sent. bsnSignatureMacInfo  indicates whether the signature is used to track  pattern matches for all source MAC addresses together or  seperately for individual source MAC addresses.   bsnSignatureAttackFrequency will carry the value for a  specific MAC address or for all MAC addresses depending on  bsnSignatureMacInfo. 
bsnAPRadioCardTxFailure,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.71,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPIfType, bsnAPName",This trap is sent by the switch when a radio card on an AP  stops transmitting.
bsnAPRadioCardTxFailureClear,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.72,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPIfType, bsnAPName",This trap is sent by the switch when a radio card on an AP  starts transmitting again after a prior failure.
bsnAPRadioCardRxFailure,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.73,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPIfType, bsnAPName",This trap is sent by the switch when a radio card on an AP  stops receiving.
bsnAPRadioCardRxFailureClear,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.74,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPIfType, bsnAPName",This trap is sent by the switch when a radio card on an AP  starts receiving again after a prior failure.
bsnAPImpersonationDetected,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.75,"bsnImpersonatedAPMacAddr, bsnImpersonatingSourceMacAddr, bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPIfType, bsnAPName",This trap is sent by the switch when a radio of an  authenticated AP hears from another AP whose MAC Address neither matches that of a rogue's and nor is it an  authenticated neighbor of the detecting AP.
bsnAPRegulatoryDomainMismatch,AIRESPACE-WIRELESS-MIB,deprecated,.1.3.6.1.4.1.14179.2.6.3.79,"bsnAPDot3MacAddress, bsnAPName, bsnApRegulatoryDomain, bsnGlobalDot11CountryIndex","This trap is generated if an AP's regulatory domain doesn't  match the country the switch is configured for.  Due to the  mismatch, the AP will fail to associate with the Switch."
bsnTrustedApHasInvalidPreamble,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.76,"bsnRogueAPDot11MacAddress, bsnTrustedApPreambleUsed, bsnTrustedApPreambleRequired, bsnClearTrapVariable","Issued when a Trusted Rogue AP is auto contained for using invalid preamble. The second param is for the preamble used and the third param is for preamble required. If the clear variable has value  true, then the trap clears the earlier alert."
bsnRadiosExceedLicenseCount,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.42,"bsnCurrentRadiosCount, bsnLicenseRadioCount",Whenever the currently associated Radios exceed the License Count This trap will be sent to annoy the Customer
bsnSensedTemperatureTooHigh,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.43,bsnSensorTemperature,Temperature sensor temp too High - temp is too high on the unit.   Immediate action should be taken
bsnSensedTemperatureTooLow,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.44,bsnSensorTemperature,Temperature sensor temp too Low  - temp is too high on the unit.  Immediate action should be taken
bsnTemperatureSensorFailure,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.45,,Temperature sensor hw failure - temp sensor has failed.   Temperature is unknown
bsnTemperatureSensorClear,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.46,bsnSensorTemperature,Temperature sensor clear -- temp sensor alarm condition is over.   sensor is operating within proper temp range
bsnPOEControllerFailure,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.47,,POE Controller has failed. Its a very critical trap. User intervention is required.
bsnMaxRogueCountExceeded,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.48,bsnMaxRogueCount,The number of rogues has exceeded the maximum Rogues allowed
bsnMaxRogueCountClear,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.49,bsnMaxRogueCount,The number of rogues is within the maximum Rogues allowed
bsnApMaxRogueCountExceeded,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.50,"bsnAPMacAddrTrapVariable, bsnMaxRogueCount, bsnAPName",The number of rogues has exceeded the maximum Rogues allowed on  the AP
bsnApMaxRogueCountClear,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.51,"bsnAPMacAddrTrapVariable, bsnMaxRogueCount, bsnAPName",The number of rogues is within the maximum Rogues allowed on the  AP
bsnApBigNavDosAttack,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.55,"bsnAPMacAddrTrapVariable, bsnAPSlotIdTrapVariable, bsnNavDosAttackSourceMacAddr, bsnAPName",The AP sent a string of messages with large NAV field. This is most  likely a malicious denial of service attack.
bsnTooManyUnsuccessLoginAttempts,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.56,"bsnUserIpAddress, bsnStationUserName",The Management User made too many unsuccessful login attempts.
bsnWepKeyDecryptError,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.57,"bsnStationMacAddress, bsnStationAPMacAddr, bsnStationAPIfSlotId",Issued when a decrypt error occurrs. The WEP Key configured at  the station may be wrong.
bsnWpaMicErrorCounterActivated,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.58,"bsnStationMacAddress, bsnStationAPMacAddr, bsnStationAPIfSlotId, bsnWlanIdTrapVariable, bsnAPName",Issued when a WPA MIC error occurs and a counter measure is  activated at the AP.
bsnAdhocRogueAutoContained,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.65,"bsnRogueAPDot11MacAddress, bsnClearTrapVariable","Issued when an Adhoc Rogue is auto contained. If the clear variable has value true, then the trap clears the  earlier alert."
bsnRogueApAutoContained,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.66,"bsnRogueAPDot11MacAddress, bsnClearTrapVariable","Issued when a Rogue AP is auto contained for advertising our SSID. If the clear variable has value true, then the trap clears the  earlier alert."
bsnTrustedApHasInvalidEncryption,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.67,"bsnRogueAPDot11MacAddress, bsnTrustedApEncryptionUsed, bsnTrustedApEncryptionRequired, bsnClearTrapVariable","Issued when a Trusted Rogue AP is auto contained for using  invalid encryption. The second param is for the encryption used  and the third param is for encryption required. If the clear variable has value true, then the trap clears the  earlier alert."
bsnTrustedApHasInvalidRadioPolicy,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.68,"bsnRogueAPDot11MacAddress, bsnTrustedApRadioPolicyUsed, bsnTrustedApRadioPolicyRequired, bsnClearTrapVariable","Issued when a Trusted Rogue AP is auto contained for using  invalid radio policy.  The second param is for the radio policy  used and the third param is for radio policy required. If the clear variable has value true, then the trap clears the  earlier alert."
bsnTrustedApHasInvalidSsid,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.63,"bsnRogueAPDot11MacAddress, bsnClearTrapVariable","Issued when a Trusted Rogue AP is auto contained for advertising  invalid SSID. If the clear variable has value true, then the trap clears the  earlier alert."
bsnTrustedApIsMissing,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.64,"bsnRogueAPDot11MacAddress, bsnClearTrapVariable","Issued when a Trusted Rogue AP is missing or has failed. If the clear variable has value true, then the trap clears the  earlier alert."
bsnAPIPAddressFallback,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.77,"bsnAPDot3MacAddress, bsnApIpAddress, bsnAPStaticIPAddress, bsnAPName","This trap is sent out when an AP, with the configured static  ip-address, fails to establish connection with outside world  and starts using DHCP as a fallback option."
bsnAPFunctionalityDisabled,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.78,"bsnApFunctionalityDisableReasonCode, bsnLicenseKeyTrapVariable, bsnLicenseKeyFeatureSetTrapVariable",This trap is sent out when AP functionality on the switch is  disabled because the License key has expired or has been deleted or doesn't match the switch image.
bsnRxMulticastQueueFull,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.80,,This trap indicates that the CPU's Receive Multicast Queue is Full.
bsnRadarChannelDetected,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.81,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPIfPhyChannelNumber, bsnAPName",This trap is sent when radar signals are detected on the  current channel
bsnRadarChannelCleared,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.82,"bsnAPDot3MacAddress, bsnAPIfSlotId, bsnAPIfPhyChannelNumber, bsnAPName","This trap will be generated, if a radar trap has been  generated earlier, after the expiry of Non-Occupancy Period."
bsnAPAuthorizationFailure,AIRESPACE-WIRELESS-MIB,current,.1.3.6.1.4.1.14179.2.6.3.83,"bsnAPDot3MacAddress, bsnAPName, bsnAPAuthCertificateType, bsnAPAuthorizationFailureCause",This trap is sent out in case of authorization failure while  attempting to associate the AP to the controller. bsnAPDot3MacAddress represents the mac-address of that AP. bsnAPName is name of AP
